Step;Count
28;1
30;1
31;2
32;1
34;2
35;2
36;1
37;1
38;6
39;4
40;6
41;6
42;14
43;11
44;13
45;8
46;14
47;12
48;19
49;17
50;20
51;25
52;21
53;31
54;25
55;22
56;25
57;25
58;26
59;21
60;36
61;32
62;38
63;34
64;41
65;34
66;47
67;42
68;39
69;44
70;56
71;54
72;54
73;45
74;45
75;51
76;57
77;49
78;56
79;68
80;59
81;78
82;68
83;71
84;52
85;63
86;78
87;76
88;69
89;61
90;53
91;80
92;64
93;71
94;79
95;60
96;65
97;67
98;79
99;66
100;79
101;81
102;75
103;71
104;80
105;79
106;72
107;65
108;70
109;88
110;79
111;67
112;62
113;81
114;69
115;76
116;70
117;73
118;65
119;73
120;75
121;53
122;76
123;60
124;86
125;60
126;71
127;68
128;58
129;66
130;73
131;71
132;56
133;72
134;64
135;49
136;48
137;70
138;56
139;69
140;70
141;55
142;69
143;62
144;72
145;58
146;59
147;67
148;56
149;64
150;38
151;63
152;54
153;49
154;56
155;50
156;51
157;51
158;52
159;51
160;38
161;60
162;52
163;43
164;56
165;41
166;47
167;36
168;48
169;45
170;36
171;47
172;49
173;41
174;49
175;31
176;44
177;38
178;41
179;48
180;40
181;45
182;39
183;46
184;39
185;37
186;31
187;26
188;34
189;37
190;42
191;40
192;29
193;29
194;35
195;37
196;27
197;28
198;28
199;31
200;28
201;34
202;35
203;27
204;19
205;29
206;30
207;30
208;31
209;24
210;32
211;25
212;29
213;21
214;24
215;28
216;21
217;19
218;24
219;26
220;27
221;14
222;17
223;17
224;38
225;20
226;24
227;17
228;18
229;23
230;17
231;11
232;14
233;23
234;11
235;12
236;11
237;19
238;15
239;16
240;10
241;16
242;15
243;10
244;21
245;13
246;17
247;17
248;8
249;16
250;13
251;11
252;14
253;12
254;21
255;9
256;7
257;9
258;10
259;15
260;15
261;10
262;15
263;14
264;14
265;9
266;15
267;15
268;3
269;8
270;15
271;5
272;8
273;12
274;12
275;7
276;11
277;12
278;7
279;8
280;8
281;11
282;13
283;8
284;8
285;6
286;5
287;4
288;3
289;3
290;13
291;10
292;5
293;7
294;4
295;11
296;3
297;5
298;4
299;6
300;4
301;3
302;3
303;2
304;5
305;5
306;7
307;8
308;8
309;9
310;9
311;1
312;2
313;3
314;6
315;4
316;6
317;4
318;4
319;5
320;7
321;3
322;4
323;2
324;7
325;2
326;3
328;2
329;1
330;3
331;3
332;4
333;3
334;4
335;2
336;6
337;4
338;4
339;3
341;2
342;6
344;4
345;4
346;1
347;3
348;2
349;4
350;2
351;2
352;2
353;3
354;1
355;3
356;2
357;4
358;1
359;1
360;2
361;1
362;2
363;1
364;2
365;3
366;2
367;1
368;2
369;1
370;2
371;3
372;1
373;4
374;1
375;1
378;2
381;1
383;3
384;1
386;1
387;1
388;3
390;1
391;2
392;1
393;2
395;3
396;1
398;1
399;2
400;2
401;1
402;1
404;2
406;1
409;1
413;1
415;2
416;1
417;1
418;1
419;2
420;1
421;1
430;2
431;1
432;2
435;1
436;1
438;1
439;1
444;2
445;1
451;1
454;1
463;2
467;1
483;1
486;1
496;1
497;1
517;1
522;1
530;1
