Char	Frequency
в	0.028640441683919944
ц	0.04002760524499655
@	0.053830227743271224
ь	0.10386473429951691
и	0.039337474120082816
7	0.15355417529330573
|	0.0862663906142167
э	0.028985507246376812
^	0.05831608005521049
{	0.07039337474120083
х	0.024844720496894408
_	0.06763285024154589
4	0.07556935817805382
9	0.016908212560386472
п	0.044513457556935816
о	0.00759144237405107
з	0.016908212560386472
г	0.027950310559006212
2	0.017943409247757072
[	0.0003450655624568668
6	0.008971704623878536
0	0.009316770186335404
б	0.006556245686680469
,	0.0032781228433402345
(	0.0032781228433402345
\'	0.004140786749482402
й	0.0003450655624568668
-	0.0006901311249137336
