Char	Frequency
ч	0.025362318840579712
$	0.026742581090407176
#	0.039337474120082816
`	0.04278812974465148
{	0.04416839199447895
ф	0.038302277432712216
ы	0.022774327122153208
:	0.01673567977915804
%	0.028467908902691512
я	0.026915113871635612
.	0.023119392684610076
ь	0.02139406487232574
ъ	0.02984817115251898
=	0.022601794340924776
ю	0.035886818495514144
&	0.06383712905452035
ш	0.03795721187025535
~	0.022429261559696344
д	0.005348516218081435
щ	0.03450655624568668
э	0.06073153899240856
 	0.012939958592132506
п	0.006556245686680469
;	0.032781228433402344
@	0.026570048309178744
л	0.024672187715665976
,	0.023119392684610076
т	0.009489302967563838
^	0.028640441683919944
р	0.027087646652864044
о	0.003450655624568668
№	0.033988957902001384
(	0.007936507936507936
0	0.004485852311939268
/	0.0001725327812284334
!	0.021566597653554176
х	0.011042097998619738
г	0.006211180124223602
н	0.004658385093167702
ц	0.008454106280193236
|	0.002933057280883368
а	0.005003450655624569
*	0.002587991718426501
1	0.004140786749482402
у	0.0012077294685990338
7	0.0018978605935127675
б	0.0027605244996549345
и	0.0006901311249137336
е	0.0006901311249137336
9	0.0036231884057971015
8	0.003795721187025535
+	0.0013802622498274672
_	0.0010351966873706005
м	0.0018978605935127675
?	0.0012077294685990338
з	0.0005175983436853002
ё	0.0005175983436853002
ж	0.0005175983436853002
к	0.0005175983436853002
