Char	Frequency
л	0.03421461897356143
о	0.04510108864696734
р	0.06531881804043546
е	0.10108864696734059
м	0.027993779160186624
 	0.14930015552099535
и	0.07309486780715396
п	0.027993779160186624
с	0.060653188180404355
у	0.07309486780715396
д	0.01866251944012442
т	0.07776049766718507
а	0.08553654743390357
,	0.017107309486780714
н	0.03576982892690513
г	0.004665629860031105
в	0.01866251944012442
ц	0.03421461897356143
.	0.017107309486780714
ю	0.0015552099533437014
х	0.012441679626749611
я	0.006220839813374806
б	0.007776049766718507
\r	0.0015552099533437014
\n	0.0015552099533437014
ф	0.0015552099533437014
