Char	Frequency
ф	0.017857142857142856
э	0.08928571428571429
б	0.03571428571428571
у	0.05357142857142857
х	0.07142857142857142
ё	0.05357142857142857
з	0.017857142857142856
д	0.07142857142857142
н	0.05357142857142857
й	0.03571428571428571
ю	0.03571428571428571
л	0.03571428571428571
ч	0.017857142857142856
о	0.03571428571428571
е	0.03571428571428571
р	0.03571428571428571
ы	0.03571428571428571
ь	0.03571428571428571
и	0.017857142857142856
а	0.03571428571428571
ш	0.017857142857142856
щ	0.03571428571428571
т	0.03571428571428571
с	0.03571428571428571
ц	0.017857142857142856
м	0.017857142857142856
ъ	0.017857142857142856
