Char	Frequency
н	0.03571428571428571
х	0.017857142857142856
д	0.03571428571428571
й	0.03571428571428571
з	0.017857142857142856
ц	0.07142857142857142
м	0.05357142857142857
я	0.017857142857142856
щ	0.03571428571428571
е	0.03571428571428571
в	0.05357142857142857
р	0.03571428571428571
к	0.017857142857142856
ю	0.017857142857142856
э	0.03571428571428571
ё	0.03571428571428571
ш	0.03571428571428571
ч	0.03571428571428571
б	0.03571428571428571
ъ	0.017857142857142856
ж	0.017857142857142856
ь	0.017857142857142856
ф	0.05357142857142857
л	0.07142857142857142
т	0.05357142857142857
у	0.03571428571428571
а	0.017857142857142856
и	0.03571428571428571
п	0.017857142857142856
