Char	Frequency
л	0.03333333333333333
о	0.04393939393939394
р	0.06363636363636363
е	0.09848484848484848
м	0.02727272727272727
 	0.14545454545454545
и	0.07121212121212121
п	0.02727272727272727
с	0.05909090909090909
у	0.07121212121212121
д	0.01818181818181818
н	0.03484848484848485
.	0.016666666666666666
,	0.016666666666666666
в	0.01818181818181818
а	0.08333333333333333
т	0.07575757575757576
ц	0.03333333333333333
б	0.007575757575757576
*	0.025757575757575757
я	0.006060606060606061
х	0.012121212121212121
г	0.004545454545454545
ю	0.0015151515151515152
\r	0.0015151515151515152
ф	0.0015151515151515152
\n	0.0015151515151515152
